ID,Total_Cell_Count,MCavg_Norm_Cell_Count,MCavg_Norm_Proliferative,Categories
hsa-miR-3616-5p,466.5,0.892271523,0.165791178,Anti
hsa-miR-185-3p,468.5,0.89609691,0.165791178,Anti
hsa-miR-519b-5p,468.5,0.89609691,0.165791178,Anti
hsa-miR-4478,479,0.916180192,0.165791178,Anti
hsa-miR-655-3p,546.5,1.045287004,0.165791178,Anti
hsa-miR-4654,576,1.101711462,0.165791178,Anti
hsa-miR-432-3p,428,0.818632823,0.172699144,Anti
hsa-miR-518a-5p,438,0.837759758,0.172699144,Anti
hsa-miR-520d-5p,443,0.847323225,0.172699144,Anti
hsa-miR-527,444,0.849235919,0.172699144,Anti
hsa-miR-4306,449,0.858799386,0.172699144,Anti
hsa-miR-1261,466.5,0.892271523,0.172699144,Anti
hsa-miR-496,469.5,0.898009603,0.172699144,Anti
hsa-miR-3616-3p,477.5,0.913311151,0.172699144,Anti
hsa-miR-6076,487,0.93148174,0.172699144,Anti
hsa-miR-609,547.5,1.047199697,0.172699144,Anti
hsa-miR-6129,377.5,0.7220418,0.179607109,Anti
hsa-miR-4730,389.5,0.744994122,0.179607109,Anti
hsa-miR-5189,438,0.837759758,0.179607109,Anti
hsa-miR-4724-3p,441.5,0.844454185,0.179607109,Anti
hsa-miR-4802-3p,470.5,0.899922297,0.179607109,Anti
hsa-miR-3174,484,0.925743659,0.179607109,Anti
hsa-miR-4694-5p,491.5,0.940088861,0.179607109,Anti
hsa-miR-429,497.5,0.951565022,0.179607109,Anti
hsa-miR-4659b-5p,505.5,0.96686657,0.179607109,Anti
hsa-miR-6500-5p,538.5,1.029985456,0.179607109,Anti
hsa-miR-380-5p,545.5,1.04337431,0.179607109,Anti
hsa-miR-3675-5p,398,0.761252017,0.186515075,Anti
hsa-miR-138-2-3p,422,0.807156662,0.186515075,Anti
hsa-miR-4451,435.5,0.832978024,0.186515075,Anti
hsa-miR-17-3p,440.5,0.842541491,0.186515075,Anti
hsa-miR-101-5p,469.5,0.898009603,0.186515075,Anti
hsa-miR-4445-5p,476,0.910442111,0.186515075,Anti
hsa-miR-4270,478.5,0.915223845,0.186515075,Anti
hsa-miR-3689b-5p,485,0.927656353,0.186515075,Anti
hsa-miR-93-3p,514,0.983124465,0.186515075,Anti
hsa-miR-3161,522.5,0.999382359,0.186515075,Anti
hsa-miR-6083,402.5,0.769859138,0.193423041,Anti
hsa-miR-5096,414.5,0.79281146,0.193423041,Anti
hsa-miR-625-5p,427.5,0.817676476,0.193423041,Anti
hsa-miR-550a-3p,464,0.887489789,0.193423041,Anti
hsa-miR-4693-5p,475.5,0.909485764,0.193423041,Anti
hsa-miR-5093,478.5,0.915223845,0.193423041,Anti
hsa-miR-4485,494,0.944870594,0.193423041,Anti
hsa-miR-1263,527.5,1.008945827,0.193423041,Anti
hsa-miR-4793-5p,384.5,0.735430655,0.200331007,Anti
hsa-miR-5002-5p,394,0.753601243,0.200331007,Anti
hsa-miR-637,419.5,0.802374928,0.200331007,Anti
hsa-miR-4756-5p,427.5,0.817676476,0.200331007,Anti
hsa-miR-5587-5p,428,0.818632823,0.200331007,Anti
hsa-miR-2467-5p,439.5,0.840628798,0.200331007,Anti
hsa-let-7a-2-3p,473,0.904704031,0.200331007,Anti
hsa-miR-3173-3p,474,0.906616724,0.200331007,Anti
hsa-miR-624-5p,477.5,0.913311151,0.200331007,Anti
hsa-miR-3128,486,0.929569046,0.200331007,Anti
hsa-miR-564,511.5,0.978342731,0.200331007,Anti
hsa-miR-4289,519.5,0.993644279,0.200331007,Anti
hsa-miR-4491,535,1.023291028,0.200331007,Anti
hsa-miR-4675,537.5,1.028072762,0.200331007,Anti
hsa-miR-2117,632,1.208822299,0.200331007,Anti
hsa-miR-4506,466.5,0.892271523,0.207238972,Anti
hsa-miR-4671-3p,493,0.942957901,0.207238972,Anti
hsa-miR-362-3p,502.5,0.961128489,0.207238972,Anti
hsa-miR-519a-5p,545,1.042417963,0.207238972,Anti
hsa-miR-5010-3p,546.5,1.045287004,0.207238972,Anti
hsa-miR-1233-1-5p,597.5,1.142834373,0.207238972,Anti
hsa-miR-1295b-5p,427.5,0.817676476,0.214146938,Anti
hsa-miR-5193,432.5,0.827239943,0.214146938,Anti
hsa-miR-149-3p,445.5,0.852104959,0.214146938,Anti
hsa-miR-4293,472.5,0.903747684,0.214146938,Anti
hsa-miR-4452,492.5,0.942001554,0.214146938,Anti
